id,mx,my,kx,ky,realized_k,realized_theta_deg,cell_mass,c,phase
1,3,-4,0.6,-0.8,1,-53.130102354156,10.9459544313336,0.00313482569228382,0
2,3,4,0.6,0.8,1,53.130102354156,10.9459544313336,0.00313482569228382,0
3,2,-4,0.4,-0.8,0.894427190999916,-63.434948822922,9.35578150060039,0.00267941406146549,0
4,2,4,0.4,0.8,0.894427190999916,63.434948822922,9.35578150060039,0.00267941406146549,0
5,1,-5,0.2,-1,1.01980390271856,-78.6900675259798,8.90679927763635,0.00255082947647057,0
6,1,5,0.2,1,1.01980390271856,78.6900675259798,8.90679927763635,0.00255082947647057,0
7,2,-5,0.4,-1,1.0770329614269,-68.1985905136482,8.63558394630162,0.00247315577573091,0
8,2,5,0.4,1,1.0770329614269,68.1985905136482,8.63558394630162,0.00247315577573091,0
9,4,-3,0.8,-0.6,1,-36.869897645844,8.40166777486719,0.00240616422842881,0
10,4,3,0.8,0.6,1,36.869897645844,8.40166777486719,0.00240616422842881,0
11,3,-3,0.6,-0.6,0.848528137423857,-45,6.72566079879561,0.00192617047713051,0
12,3,3,0.6,0.6,0.848528137423857,45,6.72566079879561,0.00192617047713051,0
13,4,-4,0.8,-0.8,1.13137084989848,-45,6.11843864850874,0.00175226735981128,0
14,4,4,0.8,0.8,1.13137084989848,45,6.11843864850874,0.00175226735981128,0
15,1,-4,0.2,-0.8,0.824621125123532,-75.9637565320735,5.87184132858325,0.00168164404240207,0
16,1,4,0.2,0.8,0.824621125123532,75.9637565320735,5.87184132858325,0.00168164404240207,0
17,3,-5,0.6,-1,1.16619037896906,-59.0362434679265,5.72733522300008,0.00164025875660395,0
18,3,5,0.6,1,1.16619037896906,59.0362434679265,5.72733522300008,0.00164025875660395,0
19,4,-2,0.8,-0.4,0.894427190999916,-26.565051177078,5.20608381362084,0.00149097690818115,0
20,4,2,0.8,0.4,0.894427190999916,26.565051177078,5.20608381362084,0.00149097690818115,0
21,2,-3,0.4,-0.6,0.721110255092798,-56.3099324740202,4.43102356961597,0.00126900642756056,0
22,2,3,0.4,0.6,0.721110255092798,56.3099324740202,4.43102356961597,0.00126900642756056,0
