rank,median_over_ladder_seconds,minimum_over_ladder_seconds,maximum_over_ladder_seconds,maximum_to_minimum_ratio,loglog_slope_vs_component_count
6,11.242512896,11.048335872,11.408310528,1.0325817987587,-0.00501727843381638
8,22.154569984,21.48432128,22.484399104,1.04654919329153,0.00551468720922805
10,38.435296256,38.044754944,38.637445888,1.01557878201272,0.00315451344587867
