method,excluded_k_over_k0_max,excluded_bin_count,reference_zero_mode_amplitude,candidate_zero_mode_amplitude,full_field_Q,Q_outside_excluded_region,error_energy_inside_fraction,reference_energy_inside_fraction
GL6 endpoint-band,0,1,6.61744490042422e-23,1.32348898008484e-22,0.0556463287393452,0.0556463287393452,2.65593254949722e-34,3.64792553183665e-37
GL6 endpoint-band,0.1,5,6.61744490042422e-23,1.32348898008484e-22,0.0556463287393452,0.0370217240563737,0.599915416537228,0.0729191278082635
GL6 endpoint-band,0.2,13,6.61744490042422e-23,1.32348898008484e-22,0.0556463287393452,0.0369293660876534,0.66049660042075,0.19673034886279
GL6 endpoint-band,0.3,29,6.61744490042422e-23,1.32348898008484e-22,0.0556463287393452,0.041625124204654,0.668456627708041,0.37367027398811
GL6 endpoint-band,0.5,81,6.61744490042422e-23,1.32348898008484e-22,0.0556463287393452,0.0127707209266894,0.98161181442487,0.64608316903116
GL6 endpoint-band,1,317,6.61744490042422e-23,1.32348898008484e-22,0.0556463287393452,0.000596953709629005,0.999979409121898,0.821393285455665
