x_over_lambda_p,mf12_eta20_scaled,gl12_eta20_scaled,r2_eta20_scaled,r4_eta20_scaled,r6_eta20_scaled,gl12_difference_pct,r2_difference_pct,r4_difference_pct,r6_difference_pct
-5,0.000825144086329522,0.000635912879790151,0.000764355926139421,0.000798847867053838,0.000812364122333619,-0.0842255012041712,-0.0270563896564569,-0.0117042653205749,-0.005688273581357
-4.9609375,0.000825097884359316,0.000636059881252727,0.00076430362471111,0.000798800580577045,0.000812317358670682,-0.0841395076925403,-0.0270591044830722,-0.0117047480269556,-0.00568852358690643
-4.921875,0.000824937750545606,0.000636488792768694,0.000764124751210688,0.000798637185073789,0.000812155551240784,-0.0838773276904611,-0.0270674453880138,-0.0117061997824128,-0.00568926850189612
-4.8828125,0.000824599433202005,0.000637135819906901,0.000763754126540395,0.000798293341821546,0.000811814439467882,-0.0834387576767897,-0.0270818251556695,-0.0117086593261293,-0.00569051228305026
-4.84375,0.000823979413276039,0.000637898206070465,0.000763087763534881,0.000797665210308397,0.000811190368258551,-0.0828234582878163,-0.027102452139842,-0.0117122697374804,-0.00569231548125502
-4.8046875,0.000822946893114205,0.000638646221781289,0.000761995750998023,0.000796621272012804,0.000810152165564034,-0.0820309540860555,-0.0271289317844832,-0.0117173518698424,-0.00569484473724887
-4.765625,0.000821367955701667,0.00063924732466997,0.000760346635955125,0.000795026417391365,0.000808565255427742,-0.081060633226334,-0.0271601673623696,-0.0117244365094318,-0.00569839334144781
-4.7265625,0.000819139248983331,0.000639599844793321,0.000758040370745522,0.00079277572952922,0.00080632540977555,-0.0799117470122752,-0.0271946881103957,-0.0117342201645078,-0.00570335120386426
-4.6875,0.000816221017048779,0.000639666017067817,0.000755039886004327,0.000789827806107573,0.000803391965089589,-0.0785834093405997,-0.0272312982657274,-0.011747435640051,-0.00571012229429673
-4.6484375,0.00081265519405455,0.000639490076685182,0.00075138769011998,0.000786223280352494,0.000799806173717497,-0.0770745960364609,-0.0272697422417165,-0.011764661971216,-0.00571901008117119
-4.609375,0.000808557083720339,0.000639189940326927,0.000747196818866511,0.000782076943973259,0.00079568313010943,-0.0753841440886282,-0.0273110294852931,-0.0117861270502986,-0.00573010770891255
-4.5703125,0.000804078965476232,0.000638920814226255,0.000742614973621951,0.000777541663853678,0.000791175523263873,-0.0735107507972766,-0.0273571976557623,-0.0118115694057094,-0.0057432328814589
-4.53125,0.000799356945438119,0.000638822047223157,0.000737773063201702,0.000772755281178562,0.00078642046973899,-0.0714529728483375,-0.0274105600356233,-0.0118402167702722,-0.00575793585794236
-4.4921875,0.00079446223108014,0.000638968407653309,0.000732738614333639,0.000767791609716917,0.000781490592952042,-0.0692092253269704,-0.0274727548995818,-0.0118709091001691,-0.00577358641187385
-4.453125,0.000789379073577655,0.00063934802802385,0.00072749527579569,0.000762637811851821,0.000776371637235622,-0.0667777806792452,-0.0275440503705668,-0.0119023506369797,-0.00578951994929618
-4.4140625,0.000784021891560172,0.000639879531203974,0.000721960097866612,0.00075721079740601,0.000770979219348185,-0.0641567676271572,-0.0276232751197004,-0.0119334325678289,-0.00580520319130201
-4.375,0.000778286800101635,0.000640463561954387,0.000716033610005795,0.000751408065134972,0.000765210046397831,-0.0613441700384582,-0.0277084643345534,-0.0119635390256324,-0.00582037262758356
-4.3359375,0.000772115452183281,0.000641046631032107,0.000709661201362495,0.000745171098915552,0.000759005595562501,-0.0583378257507471,-0.027797955072581,-0.0119927452775846,-0.00583510650697191
-4.296875,0.000765540351778058,0.000641666431021187,0.000702876138316887,0.000738530627540109,0.000752397459275483,-0.0551354253491083,-0.0278914079915995,-0.0120218414442883,-0.00584981054946422
-4.2578125,0.000758686110157125,0.000642453095487974,0.00069579990818156,0.000731608262811626,0.000745508816569245,-0.051734510898149,-0.0279902135439625,-0.0120521625682822,-0.00586512223459687
-4.21875,0.000751719752196709,0.0006435795082304,0.00068859364216487,0.000724567537192236,0.00073850507666794,-0.0481324746323417,-0.0280969949604748,-0.0120852630989243,-0.00588176067793267
-4.1796875,0.000744767742591351,0.000645178332509946,0.000681377968055368,0.000717531813854404,0.000731511273982756,-0.0443265576124144,-0.0282143502076214,-0.0121225235022382,-0.00590036248869976
-4.140625,0.000737836627240171,0.0006472626555059,0.000674156946232234,0.000710505709549023,0.000724533015334761,-0.0403138483598064,-0.0283433855731365,-0.0121648024287576,-0.00592134564404307
-4.1015625,0.000730777941146836,0.00064969089929671,0.000666785084547027,0.000703340445045209,0.000717421557343043,-0.036091281485168,-0.0284827778629849,-0.0122122397421072,-0.0059448340510142
-4.0625,0.000723322377173441,0.000652200992665584,0.000659001131571346,0.00069576797491746,0.000709907972705111,-0.03165563633006,-0.0286289415365844,-0.0122642738628233,-0.00597065864749668
-4.0234375,0.00071517806126572,0.000654508649301473,0.000650523253851356,0.000687498744812931,0.000701701259112042,-0.0270035356424566,-0.0287774075921297,-0.0123198723078473,-0.0059984314256684
-3.984375,0.000706155678154816,0.000656432496356005,0.000641169422072427,0.000678345975720502,0.00069261318233452,-0.022131444305935,-0.0289249331017876,-0.0123779062064039,-0.00602767122230729
-3.9453125,0.000696264268977859,0.000657989874762557,0.000630948887949439,0.000668320564007779,0.000682653749790605,-0.0170356681385908,-0.0290714243388578,-0.0124375498082385,-0.00605794795245334
-3.90625,0.000685726650184651,0.000659412260662992,0.000620075882714037,0.000657645844983017,0.000672046349379322,-0.0117123527713832,-0.0292207025245627,-0.0124985721730433,-0.00608900726801086
-3.8671875,0.000674893525951659,0.000661059380159888,0.0006088858827925,0.000646671524787517,0.000661141702895009,-0.00615748260740002,-0.0293795454251862,-0.0125614175193668,-0.00612084132738669
-3.828125,0.000664079809118156,0.000663255532424328,0.00059767758874334,0.000635710380229918,0.000650254199261095,-0.000366879855274326,-0.0295551690147633,-0.012627036579671,-0.00615368332189949
-3.7890625,0.000653386655552093,0.000666111626094998,0.000586542052833284,0.000624861129227382,0.000639484120551236,0.00566379637579248,-0.0297520703363165,-0.0126965144689898,-0.00618792217134668
-3.75,0.000642589079799147,0.000669412796853779,0.000575255780112849,0.000613897071745976,0.000628605586440641,0.0119390509335217,-0.0299695859764503,-0.012770614334849,-0.00622395617638424
-3.7109375,0.000631150978152842,0.000672633432339,0.00056329688350989,0.000602281972652998,0.000617081954159715,0.018463553442922,-0.0302013882095543,-0.0128493946741517,-0.00626202527027727
-3.671875,0.000618380544977548,0.000675092590232161,0.000549996125838083,0.000589325845651171,0.000604221541695482,0.0252421390913112,-0.0304374319749379,-0.0129320457119816,-0.00630207442943815
-3.6328125,0.000603677545821998,0.000676201273036017,0.00053477548294595,0.00057443191781103,0.000589425021959361,0.0322798093692043,-0.030667831621784,-0.0130170267489256,-0.00634369979301083
-3.59375,0.000586775882930651,0.000675704995110975,0.000517380926726178,0.000557338244103389,0.000572427848232934,0.0395817327490927,-0.0308872150331464,-0.0131024894352065,-0.00638621100509994
-3.5546875,0.00056787374378746,0.000673813932555931,0.000498005874552499,0.000538246521033172,0.000553430000419386,0.0471532452805687,-0.0310977053520916,-0.0131868719298599,-0.00642881027230223
-3.515625,0.000547579111749296,0.000671148434952743,0.000477236394012822,0.00051776629235088,0.000533040919808613,0.0549998510848427,-0.0313090571358026,-0.0132694797124732,-0.00647084867871244
-3.4765625,0.000526670661801989,0.000668499921998873,0.000455819088356501,0.000496675011821105,0.000512039820950859,0.0631272227449122,-0.0315355452923607,-0.0133508563401736,-0.00651208606794211
-3.4375,0.000505755636582082,0.000666488760206173,0.000434331082935188,0.000475575881834879,0.000491033175117039,0.0715412016069052,-0.0317905748169622,-0.0134328000982929,-0.0065528657694964
-3.3984375,0.000484962327040224,0.000665256744121934,0.000412885098867637,0.000454591180936878,0.000470147158915998,0.0802477980282891,-0.0320810757340939,-0.0135179870671448,-0.00659412886228874
-3.359375,0.000463807485081542,0.000664334509521438,0.000391004601625401,0.000433231215889314,0.00044889546942684,0.0892531916236413,-0.0324040598817755,-0.0136092859352629,-0.00663723502825345
-3.3203125,0.00044132070230121,0.00066276591281396,0.000367747270178685,0.000410520505404659,0.00042630447666467,0.0985637315630546,-0.0327470257636468,-0.0137089546076504,-0.00668361817039593
-3.28125,0.000416406580872183,0.000659470202822746,0.000342057179344308,0.000385361484318518,0.00040127633911756,0.10818593696927,-0.0330924043789391,-0.013817957751172,-0.00673436595595704
-3.2421875,0.000388320231401338,0.00065371751981172,0.000313224670762159,0.000357010781607238,0.000373065329241311,0.118126497438685,-0.0334245146385366,-0.0139356195500781,-0.00678985144018282
-3.203125,0.000357067264170273,0.000645528888168477,0.000281271272568473,0.000325478966424517,0.000341678247383252,0.128392273683267,-0.0337362716154355,-0.0140597328446952,-0.00684954493304777
-3.1640625,0.000323548363564898,0.00063582079247949,0.000247086272309112,0.00029167387832563,0.00030801882498808,0.138990298263005,-0.0340327479643148,-0.0141871129186279,-0.00691209020976051
-3.125,0.000289355151079936,0.000626201042272676,0.00021222567673931,0.00025719456776276,0.000273682808557825,0.149927776359506,-0.0343297955593906,-0.0143144531942943,-0.00697565125810027
-3.0859375,0.000256259911395967,0.000618458499801798,0.000178415682926946,0.000223818940411186,0.000240446483293306,0.161212086535935,-0.0346479276783095,-0.0144392518058309,-0.00703844747417833
-3.046875,0.000225574351297423,0.000613921840538043,0.000146930677144356,0.00019286083793482,0.000209624146115328,0.172850781437402,-0.0350037554228748,-0.0145605585331474,-0.00709932600620953
