x_over_lambda_p,mf12_phi_s33_scaled,pure_gl6_phi_s33_scaled,pure_gl8_phi_s33_scaled,pure_gl10_phi_s33_scaled,pure_gl6_difference_pct_of_mf12_peak,pure_gl8_difference_pct_of_mf12_peak,pure_gl10_difference_pct_of_mf12_peak
-3.65625,-8.69673060926141e-06,-8.53682466339928e-06,-8.65261282409936e-06,-8.69746252906319e-06,2.46062036977665e-05,6.78881077585294e-06,-1.12627254952894e-07
-3.640625,-9.08610159084174e-06,-8.93238165460806e-06,-9.05019974589786e-06,-9.0935963020168e-06,2.36543053041611e-05,5.52454822772069e-06,-1.15328037888321e-06
-3.625,-9.49314387288263e-06,-9.33464816446601e-06,-9.45800031186558e-06,-9.5023304991649e-06,2.43891974466262e-05,5.4078640815269e-06,-1.41363097149472e-06
-3.609375,-9.92072407382745e-06,-9.74542719312743e-06,-9.87814740280117e-06,-9.92604572560852e-06,2.69745488876733e-05,6.55166532049169e-06,-8.18891674275506e-07
-3.59375,-1.03685537400601e-05,-1.01656594287829e-05,-1.03112009961871e-05,-1.0365034765839e-05,3.12212202334708e-05,8.82539602111497e-06,5.41497040795077e-07
-3.578125,-1.08331350271702e-05,-1.05951575659015e-05,-1.07559531350935e-05,-1.08173460309882e-05,3.66197883129483e-05,1.1876690062895e-05,2.42959856271675e-06
-3.5625,-1.13083879482812e-05,-1.1032558949764e-05,-1.12095942261309e-05,-1.1279093120119e-05,4.24443536897391e-05,1.52023018167722e-05,4.5078655778852e-06
-3.546875,-1.17869296889888e-05,-1.14755839776704e-05,-1.16682847258828e-05,-1.17452568162935e-05,4.79096380801966e-05,1.82569954741855e-05,6.41258952994631e-06
-3.53125,-1.22617270934633e-05,-1.19215624079127e-05,-1.21280177575187e-05,-1.22108126713863e-05,5.23442796221088e-05,2.05750895553373e-05,7.83467202564524e-06
-3.515625,-1.27276599154982e-05,-1.23680560484395e-05,-1.25855185657482e-05,-1.2671857250836e-05,5.53355658893447e-05,2.1872601340538e-05,8.58687102692592e-06
-3.5,-1.31825443314955e-05,-1.28133641255774e-05,-1.30389043547928e-05,-1.3126393852924e-05,5.6809165531823e-05,2.21032089009144e-05,8.64039236321102e-06
-3.484375,-1.36273726837529e-05,-1.32567723389325e-05,-1.3487936579056e-05,-1.35745828008102e-05,5.70276954114931e-05,2.14563203168989e-05,8.12326649810417e-06
-3.46875,-1.40657987985815e-05,-1.36985307897349e-05,-1.39338591905555e-05,-1.40184628727621e-05,5.65149181203284e-05,2.03027651872925e-05,7.2840157797326e-06
-3.453125,-1.45030951419071e-05,-1.41396324196299e-05,-1.43789351005295e-05,-1.44612950463056e-05,5.59293635560524e-05,1.91056514677273e-05,6.43216649269539e-06
-3.4375,-1.49448711832499e-05,-1.45814806522803e-05,-1.48258286326545e-05,-1.49067234482195e-05,5.59182548132771e-05,1.83181759306086e-05,5.87014406315337e-06
-3.421875,-1.53958093862168e-05,-1.5025511586472e-05,-1.52769584343004e-05,-1.53579220971855e-05,5.69811400084569e-05,1.82886928735565e-05,5.83006683356192e-06
-3.40625,-1.58586189037352e-05,-1.54728163792619e-05,-1.57339134832837e-05,-1.58168560762698e-05,5.93669950990235e-05,1.91895739792552e-05,6.42643170062716e-06
-3.390625,-1.63333739806248e-05,-1.59238155779465e-05,-1.61970185390545e-05,-1.62837690054458e-05,6.30225313267752e-05,2.09822702494758e-05,7.63317534627056e-06
-3.375,-1.68173881407225e-05,-1.63780619121734e-05,-1.66651504623118e-05,-1.67570127173086e-05,6.76031814274837e-05,2.34262166128386e-05,9.2905236190676e-06
-3.359375,-1.73057266138721e-05,-1.6834260920391e-05,-1.7135903055408e-05,-1.72333195734325e-05,7.2548777518922e-05,2.61323182807096e-05,1.11419395733176e-05
-3.34375,-1.77923282719308e-05,-1.72905619218024e-05,-1.76061300025495e-05,-1.77085337234034e-05,7.72114192088194e-05,2.86520461754192e-05,1.28942405406455e-05
-3.328125,-1.82715054433504e-05,-1.77450735389518e-05,-1.80727611272873e-05,-1.81786605540328e-05,8.10069356883225e-05,3.05826221686482e-05,1.42869000056796e-05
-3.3125,-1.87394104640732e-05,-1.81964414631426e-05,-1.85336513905038e-05,-1.86409362361756e-05,8.35516513562907e-05,3.16620476469148e-05,1.51531382874015e-05
-3.296875,-1.91950233046058e-05,-1.86442711583755e-05,-1.8988177149476e-05,-1.90945699812135e-05,8.47493157559494e-05,3.18293269195411e-05,1.54576799766947e-05
-3.28125,-1.96403708089972e-05,-1.90892347558899e-05,-1.94373826459615e-05,-1.95409219515343e-05,8.48083910502834e-05,3.12356620697354e-05,1.53031135336986e-05
-3.265625,-2.00799568840545e-05,-1.95328391861237e-05,-1.98836535315086e-05,-1.99830920723776e-05,8.41900496529636e-05,3.0207008584046e-05,1.49054825598664e-05
-3.25,-2.05196217390877e-05,-1.9976963569577e-05,-2.03300536859006e-05,-2.04250880322442e-05,8.350382085697e-05,2.91705859101132e-05,1.45467739448619e-05
-3.234375,-2.09651585870949e-05,-2.042332752804e-05,-2.07795335541973e-05,-2.08708272889615e-05,8.33765457375461e-05,2.85638369871508e-05,1.45156274485591e-05
-3.21875,-2.14209997540795e-05,-2.08730265768208e-05,-2.12342005555541e-05,-2.13232081905622e-05,8.43216901525672e-05,2.87445166889497e-05,1.504809041875e-05
-3.203125,-2.18892090181426e-05,-2.13262158612955e-05,-2.16947838177092e-05,-2.17834186883536e-05,8.66329530345946e-05,2.99179999846116e-05,1.62789344073881e-05
-3.1875,-2.23689455401458e-05,-2.17819850040601e-05,-2.21603754285591e-05,-2.22505917034176e-05,9.03210348783862e-05,3.20946080103378e-05,1.82121971715566e-05
-3.171875,-2.28565094975038e-05,-2.22384510479185e-05,-2.2628501286998e-05,-2.27218753447982e-05,9.5106357838214e-05,3.50857276896203e-05,2.0717399645702e-05
-3.15625,-2.33460094762194e-05,-2.26930781516959e-05,-2.30955426981119e-05,-2.31929390933418e-05,0.000100472568954554,3.85416347616572e-05,2.35543525343873e-05
-3.140625,-2.38305719553869e-05,-2.31431870997936e-05,-2.35574637277178e-05,-2.36588550544842e-05,0.000105774251759676,4.20256835687473e-05,2.64236643558225e-05
-3.125,-2.43038502617105e-05,-2.35865476388096e-05,-2.4010697790721e-05,-2.41151780362896e-05,0.000110377974733082,4.51100762812739e-05,2.90327366239317e-05
-3.109375,-2.4761450579805e-05,-2.40218874055918e-05,-2.44529561203004e-05,-2.45589467842083e-05,0.000113803411211154,4.74708896487661e-05,3.11611279815629e-05
-3.09375,-2.52018689058637e-05,-2.44491492951692e-05,-2.4883708205783e-05,-2.4989311606963e-05,0.00011582791351625,4.89583232981205e-05,3.27081533209968e-05
-3.078125,-2.56266721217239e-05,-2.48694059573558e-05,-2.53041828665634e-05,-2.54075995524503e-05,0.000116527533691173,4.9624398017446e-05,3.37107181041665e-05
-3.0625,-2.60399082692684e-05,-2.52844673316274e-05,-2.57169097724998e-05,-2.58168211412781e-05,0.000116246669209241,4.97027597235977e-05,3.43284753051842e-05
-3.046875,-2.6446973415723e-05,-2.56963291806295e-05,-2.61249769366615e-05,-2.62208070888429e-05,0.000115508556318403,4.95485700111588e-05,3.48023000569689e-05
-3.03125,-2.68532873308894e-05,-2.61066500031224e-05,-2.65312464474851e-05,-2.66232523729621e-05,0.000114891976507434,4.95554029172139e-05,3.53976020206786e-05
-3.015625,-2.72631136959912e-05,-2.6516401511477e-05,-2.6937737074965e-05,-2.70269186894825e-05,0.000114903495405997,5.00687036513643e-05,3.63455055483611e-05
-3,-2.76787577906135e-05,-2.6925753955926e-05,-2.73452926227454e-05,-2.74331516941895e-05,0.000115871649685215,5.13133630049503e-05,3.77936768107011e-05
-2.984375,-2.81002579335895e-05,-2.73341834740344e-05,-2.77535645486166e-05,-2.78417696462742e-05,0.000117882947365338,5.33489108570619e-05,3.97759784157901e-05
-2.96875,-2.85255920744372e-05,-2.77407485023834e-05,-2.81612750005007e-05,-2.82513072365596e-05,0.000120771123929869,5.60608305308721e-05,4.22067394407122e-05
-2.953125,-2.89513410270396e-05,-2.81444653700783e-05,-2.85666876019029e-05,-2.86595463085547e-05,0.000124161404173653,5.91901725788021e-05,4.49011463723886e-05
-2.9375,-2.93736670895099e-05,-2.8544698517458e-05,-2.89681811637932e-05,-2.90642160598593e-05,0.000127561044919133,6.23958617108803e-05,4.76180859255219e-05
-2.921875,-2.97893853177063e-05,-2.89414660150703e-05,-2.9364791861287e-05,-2.94636990287442e-05,0.000130477168734674,6.53361138078109e-05,5.01163551146526e-05
-2.90625,-3.01968584651405e-05,-2.93355667510685e-05,-2.97565803456405e-05,-2.98575601055187e-05,0.000132534905099314,6.77496576733148e-05,5.2210970055931e-05
