quadrature_rank,surface_similarity_Q,physical_raw_relative_l2_pct,physical_raw_relative_linf_pct,gl_over_mf12_norm_ratio,diagonal_correction_applied,fft_ifft_count,pointwise_product_count
6,0.034669834252095,6.75935462296502,7.40380333174463,0.949635690155216,0,798,996
8,0.0175181206522072,3.45957794036429,3.828689878584,0.97485678346918,0,1316,1598
10,0.00909163678179033,1.80657279993617,2.01859050210739,0.987071022848777,0,1962,2344
