x_over_lambda_p,mf12_eta20_hat,gl8_eta20_hat,gl8_difference_pct_of_mf12_peak
-5,0.000825144086329522,0.000480875075101612,-0.153231755744803
-4.9609375,0.000825097884359316,0.000481065798389109,-0.153126301951303
-4.921875,0.000824937750545606,0.000481616711008907,-0.152809820101735
-4.8828125,0.000824599433202005,0.000482464373435603,-0.152281948708861
-4.84375,0.000823979413276039,0.000483506620990305,-0.151542084950366
-4.8046875,0.000822946893114205,0.000484614554178155,-0.150589383968968
-4.765625,0.000821367955701667,0.000485656700791495,-0.149422757597899
-4.7265625,0.000819139248983331,0.000486532704724888,-0.148040872360692
-4.6875,0.000816221017048779,0.000487206363403354,-0.146442146692317
-4.6484375,0.00081265519405455,0.000487723729545623,-0.14462474744923
-4.609375,0.000808557083720339,0.000488204799725257,-0.142586585874635
-4.5703125,0.000804078965476232,0.000488807130335901,-0.140325313228548
-4.53125,0.000799356945438119,0.000489672698723345,-0.137838316267149
-4.4921875,0.00079446223108014,0.000490879188120782,-0.135122712674875
-4.453125,0.000789379073577655,0.000492417940370896,-0.132175346444742
-4.4140625,0.000784021891560172,0.000494211090410889,-0.128992783101566
-4.375,0.000778286800101635,0.000496163106737207,-0.125571304594768
-4.3359375,0.000772115452183281,0.000498224645529493,-0.121906903663009
-4.296875,0.000765540351778058,0.000500437877990636,-0.117995277489105
-4.2578125,0.000758686110157125,0.000502937762809705,-0.113831820508914
-4.21875,0.000751719752196709,0.000505902370686516,-0.109411616302755
-4.1796875,0.000744767742591351,0.000509469930809029,-0.104729428575976
-4.140625,0.000737836627240171,0.000513659494333243,-0.0997796913252344
-4.1015625,0.000730777941146836,0.000518335865776067,-0.0945564983819649
-4.0625,0.000723322377173441,0.000523243796041641,-0.0890535926088869
-4.0234375,0.00071517806126572,0.000528106281977772,-0.0832643550703421
-3.984375,0.000706155678154816,0.000532749715806242,-0.0771817944708904
-3.9453125,0.000696264268977859,0.000537199705477196,-0.0707985370366419
-3.90625,0.000685726650184651,0.000541696515388616,-0.0641068168065424
-3.8671875,0.000674893525951659,0.000546609200331372,-0.0570984660490433
-3.828125,0.000664079809118156,0.000552271948810699,-0.0497649052985467
-3.7890625,0.000653386655552093,0.000558806142020209,-0.0420971324024898
-3.75,0.000642589079799147,0.000566007997513809,-0.0340857100485615
-3.7109375,0.000631150978152842,0.000573363624292519,-0.0257207515142901
-3.671875,0.000618380544977548,0.000580204474799934,-0.0169919047894786
-3.6328125,0.000603677545821998,0.000585954656078653,-0.0078883356435659
-3.59375,0.000586775882930651,0.000590373533769533,0.00160128950506588
-3.5546875,0.00056787374378746,0.000593685917617589,0.0114888200406812
-3.515625,0.000547579111749296,0.000596527606239248,0.0217866363429231
-3.4765625,0.000526670661801989,0.000599706314145719,0.0325076637036841
-3.4375,0.000505755636582082,0.000603859577640134,0.0436653856244356
-3.3984375,0.000484962327040224,0.000609147266718849,0.0552738577200043
-3.359375,0.000463807485081542,0.00061511903365276,0.0673477237156365
-3.3203125,0.00044132070230121,0.000620838735326497,0.079902234854672
-3.28125,0.000416406580872183,0.000625246657034286,0.092953273447584
-3.2421875,0.000388320231401338,0.000627635072292352,0.106517380448285
-3.203125,0.000357067264170273,0.000628048302939449,0.120611786103114
-3.1640625,0.000323548363564898,0.000627427365952392,0.135254442169321
-3.125,0.000289355151079936,0.000627405908895802,0.150464054159943
-3.0859375,0.000256259911395967,0.000629800006240263,0.166260112607635
-3.046875,0.000225574351297423,0.000635966986287974,0.182662923334413
-3.0078125,0.000197625247024694,0.000646281146906925,0.199693637888037
-2.96875,0.000171570632193952,0.000659950017040071,0.217374286296119
-2.9296875,0.000145659516679024,0.000675274160267223,0.23572781475662
-2.890625,0.000117862422281908,0.00069027781154166,0.254778130621666
-2.8515625,8.66381548286457e-05,0.00070347576980957,0.274550156041755
