depth_case,peak_kph,n,J,r_squared,standard_actual_percent,detroot_actual_percent
1,1,0,1,0.615260066870125,57.4575937373204,30.1333804613965
1,1,0,2,0.615260066870125,28.0435292560824,8.08465839462945
1,1,0,3,0.615260066870125,12.8566842977606,2.08931606553799
1,1,0,4,0.615260066870125,5.74839384244501,0.529147167025941
1,1,0,5,0.615260066870125,2.53675901718714,0.132310964537386
1,1,0,6,0.615260066870125,1.11012126281296,0.0327903065661166
1,1,0,7,0.615260066870125,0.482888218311813,0.0080728200360577
1,1,0,8,0.615260066870125,0.209085495933359,0.00197734254713595
1,1,2,1,0.63290111441704,59.2934215637613,31.4797251360325
1,1,2,2,0.63290111441704,30.1008871323027,8.82489724680202
1,1,2,3,0.63290111441704,14.401070048811,2.3846396614141
1,1,2,4,0.63290111441704,6.72836789926619,0.631707679329924
1,1,2,5,0.63290111441704,3.10468934750889,0.165253535197499
1,1,2,6,0.63290111441704,1.42117716443409,0.0428529996662946
1,1,2,7,0.63290111441704,0.646805941900554,0.0110405415571139
1,1,2,8,0.63290111441704,0.293077749572698,0.00283017825321313
1,1,3,1,0.435514000864841,39.3638871505145,18.5802529477515
1,1,3,2,0.435514000864841,12.1132136568898,3.07782297007347
1,1,3,3,0.435514000864841,3.37422741905847,0.488267474851492
1,1,3,4,0.435514000864841,0.902485329945476,0.0756826203612876
1,1,3,5,0.435514000864841,0.236506562230003,0.0115595673738417
1,1,3,6,0.435514000864841,0.0612160045834487,0.00174754191063071
1,1,3,7,0.435514000864841,0.0157095669130498,0.000262184441000839
1,1,3,8,0.435514000864841,0.00400570078176506,3.91045168344855e-05
1,1,4,1,0.328038658097683,29.0693136286004,13.0494931613643
1,1,4,2,0.328038658097683,6.27015917182938,1.52141266346955
1,1,4,3,0.328038658097683,1.19308020362524,0.169479562174237
1,1,4,4,0.328038658097683,0.215371630843389,0.018419194204103
1,1,4,5,0.328038658097683,0.0378742478397433,0.00197059852473812
1,1,4,6,0.328038658097683,0.00655911812813435,0.000208525123532483
1,1,4,7,0.328038658097683,0.0011243598008229,2.18868693794565e-05
1,1,4,8,0.328038658097683,0.000191303635404746,2.28283634517863e-06
1,1,5,1,0.262583213498469,22.9884636173514,10.0442313719848
1,1,5,2,0.262583213498469,3.79481290560216,0.902653650836541
1,1,5,3,0.262583213498469,0.543033095415655,0.0774254048168733
1,1,5,4,0.262583213498469,0.0730651477650076,0.00647406146604208
1,1,5,5,0.262583213498469,0.00953343052307989,0.000532595760011495
1,1,5,6,0.262583213498469,0.00122212515256909,4.33185728415027e-05
1,1,5,7,0.262583213498469,0.000154879743859828,3.49368895719073e-06
1,1,5,8,0.262583213498469,1.94677239853843e-05,2.79936770255233e-07
2,Inf,0,1,0.267949192431123,23.4816326593993,10.2815836626845
2,Inf,0,2,0.267949192431123,3.9701558180662,0.945704228975725
2,Inf,0,3,0.267949192431123,0.582759816371322,0.0830313765971536
2,Inf,0,4,0.267949192431123,0.080493908607358,0.00710702732289683
2,Inf,0,5,0.267949192431123,0.0107863008928027,0.000598523344365494
2,Inf,0,6,0.267949192431123,0.00142037919291601,4.98360980314877e-05
2,Inf,0,7,0.267949192431123,0.000184926480577911,4.11482355092181e-06
2,Inf,0,8,0.267949192431123,2.38816365476742e-05,3.37545313313419e-07
2,Inf,2,1,0.5,45.7279179363696,22.335677255549
2,Inf,2,2,0.5,16.8506465814848,4.44351746856953
2,Inf,2,3,0.5,5.70038837260629,0.848105616691386
2,Inf,2,4,0.5,1.86290615862432,0.158316461580066
2,Inf,2,5,0.5,0.598204574231465,0.0291400407955278
2,Inf,2,6,0.5,0.19001105180041,0.00531120469671187
2,Inf,2,7,0.5,0.0598939384287567,0.00096102819872046
2,Inf,2,8,0.5,0.0187704688132451,0.000172915043683553
2,Inf,3,1,0.333333333333333,29.5674090516908,13.3036085843269
2,Inf,3,2,0.333333333333333,6.50387575160445,1.58106354969361
2,Inf,3,3,0.333333333333333,1.26376155884363,0.17955107950729
2,Inf,3,4,0.333333333333333,0.233116513514571,0.0198947909553067
2,Inf,3,5,0.333333333333333,0.041904360068982,0.00217012841538337
2,Inf,3,6,0.333333333333333,0.00741930190182316,0.000234141732994667
2,Inf,3,7,0.333333333333333,0.00130036210318115,2.5058097730124e-05
2,Inf,3,8,0.333333333333333,0.000226228390805735,2.66496516706146e-06
2,Inf,4,1,0.25,21.8357041759379,9.49359104542423
2,Inf,4,2,0.25,3.40194361860815,0.806625824166357
2,Inf,4,3,0.25,0.457831929092595,0.0654026396758267
2,Inf,4,4,0.25,0.0578239903561373,0.00516874141385792
2,Inf,4,5,0.25,0.00707497108633492,0.000401842350744586
2,Inf,4,6,0.25,0.000850034792088117,3.08850868546706e-05
2,Inf,4,7,0.25,0.000100933901070466,2.35369883583303e-06
2,Inf,4,8,0.25,1.18852776120892e-05,1.7819675734998e-07
2,Inf,5,1,0.2,17.3065393291638,7.38407974718665
2,Inf,5,2,0.2,2.0827687399095,0.488537137200282
2,Inf,5,3,0.2,0.21335996449265,0.0308256236272975
2,Inf,5,4,0.2,0.0203433458456281,0.0018947199297692
2,Inf,5,5,0.2,0.00187043039240109,0.000114519550642456
2,Inf,5,6,0.2,0.000168445535528861,6.84078711898906e-06
2,Inf,5,7,0.2,1.49716176522929e-05,4.05083717680554e-07
2,Inf,5,8,0.2,1.31861293439783e-06,2.38263098140124e-08
