x_over_lambda_p,gl6_endpoint_band_eta20_scaled,gl6_endpoint_band_difference_pct_of_mf12_peak
-5,7.87047290766901e-05,0.0293888749790466
-4.9609375,7.87480073999194e-05,0.0294298570677638
-4.921875,7.88719003808091e-05,0.0295526969419844
-4.8828125,7.90582967776128e-05,0.0297570739578134
-4.84375,7.92769566746403e-05,0.0300424497870016
-4.8046875,7.94879235770188e-05,0.0304080654783879
-4.765625,7.96479467365005e-05,0.0308529417927475
-4.7265625,7.97206001193465e-05,0.0313758845503397
-4.6875,7.96872720448192e-05,0.0319754947420509
-4.6484375,7.95545961234983e-05,0.0326501810587228
-4.609375,7.93543590867954e-05,0.0333981712002345
-4.5703125,7.91346152555749e-05,0.0342175184256038
-4.53125,7.89446130623826e-05,0.0351061013137266
-4.4921875,7.88193573593664e-05,0.0360616170608893
-4.453125,7.87704413231596e-05,0.0370815709505314
-4.4140625,7.87874466344169e-05,0.0381632660337546
-4.375,7.88495080322505e-05,0.0393037970818089
-4.3359375,7.89416404728698e-05,0.0405000515930595
-4.296875,7.90676000160077e-05,0.0417487186180397
-4.2578125,7.92520573741191e-05,0.0430463041806902
-4.21875,7.95296437939441e-05,0.0443891507764052
-4.1796875,7.99250278741928e-05,0.0457734581015566
-4.140625,8.04335031612188e-05,0.0471953026721151
-4.1015625,8.10127700176167e-05,0.0486506548968154
-4.0625,8.15925267746351e-05,0.0501353930357323
-4.0234375,8.21004459629451e-05,0.0516453140580108
-3.984375,8.24945263774966e-05,0.0531761417744306
-3.9453125,8.27868318704222e-05,0.0547235330098155
-3.90625,8.30452177234143e-05,0.0562830832166645
-3.8671875,8.33680086598755e-05,0.0578503337721893
-3.828125,8.38387184586365e-05,0.0594207838718323
-3.7890625,8.4478576297635e-05,0.0609899098692105
-3.75,8.52186025467452e-05,0.0625531936698204
-3.7109375,8.59074264249544e-05,0.0641061593832856
-3.671875,8.6357172534488e-05,0.0656444145203071
-3.6328125,8.6412776402054e-05,0.0671636897356394
-3.59375,8.60173508731925e-05,0.0686598706866858
-3.5546875,8.52440839560225e-05,0.0701290177154604
-3.515625,8.42760009058364e-05,0.071567373506516
-3.4765625,8.3335619280189e-05,0.0729713642802377
-3.4375,8.25891029109447e-05,0.0743376043756859
-3.3984375,8.20641765244576e-05,0.0756629152386604
-3.359375,8.16202912581601e-05,0.0769443667649831
-3.3203125,8.09917183162947e-05,0.0781793421318762
-3.28125,7.98950743450099e-05,0.0793656187830642
-3.2421875,7.81635789079053e-05,0.0805014512218305
-3.203125,7.58537912028385e-05,0.0815856386890336
-3.1640625,7.32753336192346e-05,0.0826175642768853
-3.125,7.09206282769189e-05,0.0835972009887237
-3.0859375,6.93110775937376e-05,0.0845250919198432
-3.046875,6.8813031625335e-05,0.0854023219760892
-3.0078125,6.94953209111883e-05,0.0862305033724197
-2.96875,7.1090286696993e-05,0.087011794280451
-2.9296875,7.30833108823341e-05,0.0877489598621762
-2.890625,7.49046655675429e-05,0.0884454707338471
-2.8515625,7.61522530671714e-05,0.089105620542412
-2.8125,7.67542041148207e-05,0.0897346366414772
-2.7734375,7.69971760385971e-05,0.0903387587722206
-2.734375,7.73960248127921e-05,0.0909252700944908
-2.6953125,7.84455182720188e-05,0.0915024797253268
-2.65625,8.03489585188957e-05,0.0920796710688879
-2.6171875,8.28380429605474e-05,0.0926670405785908
-2.578125,8.51713810175352e-05,0.0932756539186363
-2.5390625,8.63325877599152e-05,0.0939174404599935
-2.5,8.53669527748306e-05,0.0946052351591299
-2.4609375,8.17313784687784e-05,0.0953528633019374
-2.421875,7.55144871342897e-05,0.0961752524449489
-2.3828125,6.74246678297161e-05,0.0970885496849005
-2.34375,5.85320111672577e-05,0.0981102214853801
-2.3046875,4.98530997169426e-05,0.0992591163419678
-2.265625,4.19434319003149e-05,0.100555475782908
-2.2265625,3.46759076696444e-05,0.102020885620968
-2.1875,2.73228572922026e-05,0.103678167376259
-2.1484375,1.89411958911795e-05,0.105551220462586
-2.109375,8.92894755901272e-06,0.107664839277721
-2.0703125,-2.46947019174435e-06,0.110044543450196
-2.03125,-1.39392551155037e-05,0.112716468759882
-1.9921875,-2.32938048404546e-05,0.115707363437501
-1.953125,-2.80781372301288e-05,0.119044713777298
-1.9140625,-2.63883728494718e-05,0.122756983697823
-1.875,-1.76054214865685e-05,0.126873902763882
-1.8359375,-2.73988674372686e-06,0.131426692225084
-1.796875,1.57900866754396e-05,0.136448099127656
-1.7578125,3.49123723589762e-05,0.14197213166416
-1.71875,5.19249877820964e-05,0.148033460040434
-1.6796875,6.53856151868619e-05,0.154666553675231
-1.640625,7.54680785845738e-05,0.161904736512134
-1.6015625,8.35620285626564e-05,0.169779415452357
-1.5625,9.11848835299852e-05,0.178319733031368
-1.5234375,9.85813485402251e-05,0.187552794512598
-1.484375,0.000103581676588375,0.197504434222557
-1.4453125,0.000101279619622965,0.208200265018326
-1.40625,8.48494035070939e-05,0.219666573317681
-1.3671875,4.74121908395802e-05,0.231930558863875
-1.328125,-1.5573962064948e-05,0.245019526394113
-1.2890625,-0.000104220945780672,0.258958916754372
-1.25,-0.000213249712098235,0.273769454544433
-1.2109375,-0.000332686875230912,0.289464069688035
-1.171875,-0.000450182363119379,0.306045479609384
-1.1328125,-0.000554280057861948,0.323505279021111
-1.09375,-0.000637504691250017,0.341825029934325
-1.0546875,-0.000698024683766736,0.360979233742277
-1.015625,-0.000739002917683313,0.380939363230931
-0.9765625,-0.000765486762500315,0.401677566248478
-0.9375,-0.000779592311741527,0.423168455457689
-0.8984375,-0.000775492930488194,0.445387719639874
-0.859375,-0.000736030491647423,0.468307131405075
-0.8203125,-0.000632456522908535,0.491886705162728
-0.78125,-0.000427911227780911,0.516065947031059
-0.7421875,-8.40091567646526e-05,0.540756935007449
-0.703125,0.000431277593546984,0.565842024439579
-0.6640625,0.00113693573834004,0.591178117255495
-0.625,0.00203581474355341,0.616607752950177
-0.5859375,0.00311653674517395,0.641975143986063
-0.546875,0.00436023016427661,0.667143266915546
-0.5078125,0.00575014835435442,0.692006875688276
-0.46875,0.00728090719807229,0.71649634417421
-0.4296875,0.00896368387855692,0.740568790797003
-0.390625,0.0108245134532349,0.764185801909664
-0.3515625,0.012894685449115,0.787280657119642
-0.3125,0.0151947021096182,0.809721386298883
-0.2734375,0.0177155954666283,0.831278300689312
-0.234375,0.0204028640282732,0.851605074492448
-0.1953125,0.0231483383923481,0.87024066401936
-0.15625,0.0257937663107165,0.88663554828301
-0.1171875,0.0281471347137377,0.900200711973151
-0.078125,0.030009430247081,0.9103726083099
-0.0390625,0.0312065964594416,0.916683285221877
0,0.0316197290562111,0.918822974664474
0.0390625,0.0312065964594416,0.9166832852219
0.078125,0.030009430247081,0.910372608309911
0.1171875,0.0281471347137377,0.900200711973151
0.15625,0.0257937663107165,0.886635548282999
0.1953125,0.0231483383923481,0.870240664019327
0.234375,0.0204028640282732,0.851605074492448
0.2734375,0.0177155954666283,0.83127830068929
0.3125,0.0151947021096182,0.809721386298855
0.3515625,0.012894685449115,0.787280657119625
0.390625,0.0108245134532349,0.764185801909637
0.4296875,0.00896368387855691,0.74056879079697
0.46875,0.00728090719807228,0.716496344174185
0.5078125,0.00575014835435442,0.692006875688259
0.546875,0.00436023016427661,0.667143266915549
0.5859375,0.00311653674517395,0.641975143986058
0.625,0.00203581474355341,0.616607752950177
0.6640625,0.00113693573834004,0.59117811725549
0.703125,0.000431277593546983,0.565842024439573
0.7421875,-8.40091567646545e-05,0.540756935007442
0.78125,-0.00042791122778091,0.516065947031065
0.8203125,-0.000632456522908535,0.491886705162724
0.859375,-0.000736030491647421,0.468307131405084
0.8984375,-0.000775492930488194,0.445387719639873
0.9375,-0.000779592311741527,0.42316845545769
0.9765625,-0.000765486762500314,0.401677566248481
1.015625,-0.000739002917683309,0.380939363230946
1.0546875,-0.000698024683766735,0.360979233742288
1.09375,-0.000637504691250021,0.341825029934317
1.1328125,-0.000554280057861948,0.323505279021113
1.171875,-0.000450182363119378,0.306045479609386
1.2109375,-0.000332686875230912,0.289464069688036
1.25,-0.000213249712098235,0.273769454544433
1.2890625,-0.000104220945780673,0.258958916754367
1.328125,-1.55739620649466e-05,0.245019526394127
1.3671875,4.74121908395793e-05,0.231930558863864
1.40625,8.48494035070962e-05,0.219666573317684
1.4453125,0.000101279619622966,0.208200265018335
1.484375,0.000103581676588379,0.197504434222563
1.5234375,9.85813485402265e-05,0.187552794512602
1.5625,9.1184883529985e-05,0.178319733031366
1.6015625,8.35620285626578e-05,0.169779415452354
1.640625,7.54680785845747e-05,0.161904736512139
1.6796875,6.53856151868617e-05,0.154666553675234
1.71875,5.1924987782096e-05,0.148033460040434
1.7578125,3.4912372358975e-05,0.14197213166415
1.796875,1.5790086675438e-05,0.136448099127653
1.8359375,-2.73988674372699e-06,0.131426692225089
1.875,-1.76054214865703e-05,0.126873902763876
1.9140625,-2.63883728494731e-05,0.122756983697817
1.953125,-2.80781372301294e-05,0.119044713777299
1.9921875,-2.32938048404558e-05,0.115707363437499
2.03125,-1.39392551155061e-05,0.112716468759874
2.0703125,-2.46947019174367e-06,0.110044543450203
2.109375,8.92894755901306e-06,0.107664839277725
2.1484375,1.89411958911802e-05,0.105551220462589
2.1875,2.73228572922026e-05,0.103678167376259
2.2265625,3.46759076696424e-05,0.102020885620968
2.265625,4.19434319003149e-05,0.100555475782904
2.3046875,4.98530997169379e-05,0.0992591163419575
2.34375,5.8532011167257e-05,0.0981102214853795
2.3828125,6.74246678297106e-05,0.0970885496848792
2.421875,7.55144871342883e-05,0.09617525244495
2.4609375,8.17313784687811e-05,0.0953528633019482
2.5,8.53669527748306e-05,0.0946052351591299
2.5390625,8.63325877599192e-05,0.0939174404600043
2.578125,8.51713810175352e-05,0.0932756539186287
2.6171875,8.28380429605433e-05,0.0926670405785781
2.65625,8.03489585188964e-05,0.092079671068883
2.6953125,7.84455182720147e-05,0.0915024797253079
2.734375,7.73960248127907e-05,0.0909252700944875
2.7734375,7.69971760385971e-05,0.0903387587722179
2.8125,7.675420411482e-05,0.0897346366414788
