x_over_lambda_p,mf12_eta22_hat,gl6_eta22_hat,difference_pct_of_mf12_peak
-5,0.00047489115012761,0.000573185703555377,0.015548672711454
-4.9609375,0.000475835697266984,0.000573197721144081,0.0154011610104339
-4.921875,0.000478645732128208,0.000573225665405656,0.0149610774587105
-4.8828125,0.000483242611769383,0.000573237553394838,0.0142358029435364
-4.84375,0.00048947556636409,0.000573160809560932,0.0132377065856689
-4.8046875,0.000497111194998741,0.000572871869364467,0.0119841627947104
-4.765625,0.000505846044739446,0.000572207705217583,0.0104973846808454
-4.7265625,0.000515348540010437,0.000571004606458717,0.00880392586805104
-4.6875,0.000525319596411514,0.000569153413871389,0.00693382957254136
-4.6484375,0.000535547881852071,0.000566648396665352,0.00491961872887274
-4.609375,0.0005459358153164,0.000563607894936381,0.00279544870554559
-4.5703125,0.000556486373540861,0.000560258177857123,0.000596640900233662
-4.53125,0.000567258009204316,0.000556887492837363,-0.00164045472730109
-4.4921875,0.000578304442150199,0.00055378542260643,-0.00387852832936438
-4.453125,0.000589616571541494,0.000551183205355543,-0.00607956200201832
-4.4140625,0.000601080746591052,0.000549208665546951,-0.00820535810877289
-4.375,0.000612463185747961,0.00054786584850413,-0.0102182961294375
-4.3359375,0.000623422796108681,0.000547042247804328,-0.0120822172306679
-4.296875,0.000633546739539566,0.000546538669878642,-0.0137633261583232
-4.2578125,0.000642400599804439,0.000546114307229208,-0.0152309970150252
-4.21875,0.00064958560026774,0.000545540028643287,-0.0164583945279694
-4.1796875,0.000654790191216125,0.00054464735080239,-0.0174228878140392
-4.140625,0.000657815630802558,0.000543352381735386,-0.0181063094054643
-4.1015625,0.000658563137157745,0.000541641622285984,-0.0184951689007302
-4.0625,0.000656998273098101,0.000539534514471429,-0.0185809434465308
-4.0234375,0.000653127796103033,0.000537057715868487,-0.0183604851563356
-3.984375,0.000647005933232189,0.000534248972471166,-0.0178364010789242
-3.9453125,0.000638747805204587,0.000531170095393593,-0.0170171239663662
-3.90625,0.000628515732285345,0.000527895865859391,-0.0159165011363224
-3.8671875,0.000616472419687609,0.000524472001381989,-0.0145530382271094
-3.828125,0.00060272368227253,0.000520862764944764,-0.012949126548748
-3.7890625,0.000587274708361337,0.000516910810229509,-0.0111304765584785
-3.75,0.000570024270665704,0.000512333379375252,-0.00912580357533738
-3.7109375,0.000550839340620187,0.000506796930400419,-0.00696682570956499
-3.671875,0.000529735374392145,0.000500095031437071,-0.0046886422043961
-3.6328125,0.00050708588353353,0.000492354932014956,-0.00233020788948317
-3.59375,0.000483681618442066,0.000484097858966907,6.58427905139128e-05
-3.5546875,0.000460516727005477,0.000476033975867017,0.00245458792493091
-3.515625,0.000438405888902159,0.000468693693036236,0.00479106051359652
-3.4765625,0.000417706926650739,0.00046216322932392,0.00703229707162354
-3.4375,0.00039833352051935,0.000456104986354213,0.00913854921765664
-3.3984375,0.00037999154270482,0.000449997253262411,0.0110738168437039
-3.359375,0.000362445081683675,0.000443400023715814,0.0128058153187243
-3.3203125,0.000345699334446125,0.000436131014764031,0.0143048882260118
-3.28125,0.000330077005902992,0.000428328578792393,0.0155418738573903
-3.2421875,0.000316136666450301,0.000420361172415787,0.0164866991634608
-3.203125,0.000304408473033219,0.000412573578346886,0.0171100408178573
-3.1640625,0.000295143123818755,0.00040506495908692,0.0173879282302558
-3.125,0.000288406395607094,0.000397810179481044,0.0173059805404248
-3.0859375,0.00028452741779819,0.000391113596705652,0.01686027916709
-3.046875,0.000284350714256603,0.000385850846387127,0.0160557455080825
-3.0078125,0.000288723922244369,0.000382950778358163,0.0149052261315708
-2.96875,0.000297460359218294,0.000382360500350157,0.0134298845824216
-2.9296875,0.000308807005410649,0.000382504268696796,0.0116577631883564
-2.890625,0.000320159115412867,0.000380965911920388,0.00961869141836236
-2.8515625,0.000329550189186395,0.000375946733107124,0.00733921312228287
-2.8125,0.000336647024310851,0.000367263513512895,0.00484305338979108
-2.7734375,0.000342452825888252,0.000356089640488456,0.00215713241121924
-2.734375,0.000348006228323105,0.000343688893267999,-0.000682935395874856
-2.6953125,0.000352911856096741,0.000329949844177826,-0.00363223388960291
-2.65625,0.000354450391029353,0.000312484128255788,-0.0066384114076936
-2.6171875,0.0003479609789507,0.000287006242988394,-0.00964209314392445
-2.578125,0.000329063268954412,0.000249548179045804,-0.0125780530608884
-2.5390625,0.00029718902051032,0.000199943913121016,-0.0153826666367391
-2.5,0.000258071447844848,0.000144243554567959,-0.0180058059808703
-2.4609375,0.000222451030774094,9.33863712688338e-05,-0.0204160259066362
-2.421875,0.000200840794567936,5.8024015466571e-05,-0.0225913977785452
-2.3828125,0.000197856647244634,4.295365145185e-05,-0.024503249667599
-2.34375,0.000210423651306654,4.53762493256174e-05,-0.0261079372741112
-2.3046875,0.000230855690488914,5.79428477580113e-05,-0.0273521279203495
-2.265625,0.000251709436579139,7.35441696130272e-05,-0.0281829799108923
-2.2265625,0.000268513773389861,8.80006258601471e-05,-0.0285543781743358
-2.1875,0.000279075699024785,9.93420138392523e-05,-0.0284310793296091
-2.1484375,0.000280827660239949,0.000105113002023624,-0.0277953316428501
-2.109375,0.00026859966070984,0.000100119754719782,-0.0266509061320576
-2.0703125,0.000235058022152034,7.69150158957363e-05,-0.0250157690343601
-2.03125,0.000175292898117372,3.04750950853817e-05,-0.0229079287062525
-1.9921875,9.41745839960393e-05,-3.44164904213869e-05,-0.0203411120963083
-1.953125,1.05293153966867e-05,-9.90611131380258e-05,-0.0173355048288248
-1.9140625,-4.88913267936684e-05,-0.000136926982209784,-0.0139258742755206
-1.875,-6.56010047350025e-05,-0.000129768086745146,-0.010150236429508
-1.8359375,-4.48539538082607e-05,-8.29857674068439e-05,-0.00603186106312837
-1.796875,-1.67189824731766e-05,-2.67373295592086e-05,-0.00158474701311838
-1.7578125,-1.99108659450052e-05,2.51106895503674e-08,0.00315356207505117
-1.71875,-8.05493463063546e-05,-2.9358857592047e-05,0.00809754078127081
-1.6796875,-0.000201865879363922,-0.000118860236977643,0.0131302042855984
-1.640625,-0.000370066246737,-0.000255346199653276,0.018146930865892
-1.6015625,-0.00056791408834612,-0.000421975488240159,0.0230852214073372
-1.5625,-0.0007833946115869,-0.000606858118982245,0.0279253330873
-1.5234375,-0.00100614508681198,-0.000799541175019579,0.0326815321230057
-1.484375,-0.00121259310895674,-0.000976221036694613,0.0373903930743501
-1.4453125,-0.00134984257315974,-0.0010838928622452,0.042069116431306
-1.40625,-0.00133750094155016,-0.0010426549010654,0.0466400672661339
-1.3671875,-0.00110537338648849,-0.000783656583934803,0.0508906047613177
-1.328125,-0.000660403439823931,-0.00031557188748143,0.054546999411277
-1.2890625,-0.000138759041450645,0.000224292292981163,0.0574290861465184
-1.25,0.00021256960834389,0.000588948240510731,0.0595372577937136
-1.2109375,0.000137454198994528,0.000522909094839121,0.0609729818338245
-1.171875,-0.000502318887829301,-0.000111758835433112,0.061780538362578
-1.1328125,-0.00166332967211209,-0.00127205201277116,0.0618940526431787
-1.09375,-0.00316151505723911,-0.00277433405528174,0.0612460250297776
-1.0546875,-0.0047729260110359,-0.00439424705062691,0.0599011340179678
-1.015625,-0.0063029628399634,-0.00593584778042331,0.0580719043851139
-0.9765625,-0.00756479384076083,-0.00721052880209012,0.0560392305301978
-0.9375,-0.00828750130052798,-0.0079455948314768,0.0540842966351366
-0.8984375,-0.00804759832711676,-0.00771613398657605,0.0524325139782315
-0.859375,-0.00634774739414422,-0.00602444508995431,0.0511414065114183
-0.8203125,-0.00292570443095302,-0.00260944995115815,0.0500265500821978
-0.78125,0.00176205772588919,0.00207102524239666,0.0488738655919074
-0.7421875,0.00613859218194929,0.00644161543407331,0.0479335752280434
-0.703125,0.0075523444170468,0.00785684511017031,0.048167283462634
-0.6640625,0.00297259796351942,0.00329282046303699,0.050654229214249
-0.625,-0.00988794476862331,-0.00953808581762767,0.0553422558473836
-0.5859375,-0.0316282976003624,-0.0312475346414989,0.0602307902274991
-0.546875,-0.0609708293290651,-0.060579221634333,0.061946259119541
-0.5078125,-0.0954178678136436,-0.0950545896020517,0.05746497459186
-0.46875,-0.132244121097301,-0.131954576052816,0.0458015319763058
-0.4296875,-0.169055522551776,-0.168873033152492,0.0288669905282026
-0.390625,-0.203362685508176,-0.203289380792009,0.0115956683269253
-0.3515625,-0.231140801203612,-0.231133377898966,0.00117425157694507
-0.3125,-0.244999684844333,-0.244974422229359,0.00399615358495359
-0.2734375,-0.233278279579647,-0.233155237217259,0.0194633919754154
-0.234375,-0.181781808289667,-0.181569356537682,0.0336065696764344
-0.1953125,-0.0792593243977947,-0.0791354084337958,0.0196015821910231
-0.15625,0.0744375425466971,0.0741248826054264,-0.0494579498789044
-0.1171875,0.261464537852009,0.260328575046065,-0.179691684493962
-0.078125,0.445666400108005,0.443504371769294,-0.341999326098988
-0.0390625,0.581852082323085,0.578825622330775,-0.478738996757468
0,0.63217327454168,0.62880789199763,-0.532351283987765
0.0390625,0.581852082323085,0.578825622329972,-0.478738996884409
0.078125,0.445666400108005,0.4435043717682,-0.341999326272084
0.1171875,0.261464537852009,0.260328575045377,-0.179691684602765
0.15625,0.0744375425466971,0.0741248826055802,-0.0494579498545852
0.1953125,-0.0792593243977948,-0.0791354084329139,0.019601582330521
0.234375,-0.181781808289667,-0.181569356536648,0.0336065698400252
0.2734375,-0.233278279579647,-0.233155237216695,0.0194633920645701
0.3125,-0.244999684844333,-0.244974422229485,0.00399615356499053
0.3515625,-0.231140801203612,-0.23113337789945,0.00117425150043373
0.390625,-0.203362685508176,-0.203289380792232,0.0115956682916366
0.4296875,-0.169055522551776,-0.168873033152013,0.0288669906040726
0.46875,-0.132244121097301,-0.131954576051663,0.0458015321586797
0.5078125,-0.0954178678136436,-0.0950545896006513,0.0574649748133814
0.546875,-0.0609708293290651,-0.0605792216331681,0.0619462593038066
0.5859375,-0.0316282976003623,-0.0312475346407984,0.0602307903382975
0.625,-0.00988794476862331,-0.00953808581730397,0.0553422558985873
0.6640625,0.0029725979635194,0.0032928204632114,0.0506542292418416
0.703125,0.0075523444170468,0.00785684511033091,0.0481672834880397
0.7421875,0.00613859218194925,0.00644161543416268,0.0479335752421874
0.78125,0.0017620577258892,0.00207102524224889,0.0488738655685318
0.8203125,-0.00292570443095302,-0.00260944995163956,0.0500265500060466
0.859375,-0.0063477473941442,-0.00602444509067753,0.0511414063970133
0.8984375,-0.00804759832711676,-0.00771613398730165,0.0524325138634525
0.9375,-0.00828750130052796,-0.00794559483198981,0.0540842965539844
0.9765625,-0.00756479384076084,-0.00721052880235846,0.0560392304877518
1.015625,-0.00630296283996339,-0.0059358477805967,0.0580719043576848
1.0546875,-0.00477292601103589,-0.00439424705086973,0.0599011339795562
1.09375,-0.0031615150572391,-0.00277433405559645,0.0612460249799951
1.1328125,-0.00166332967211208,-0.00127205201299351,0.0618940526080039
1.171875,-0.000502318887829391,-0.000111758835414678,0.0617805383655083
1.2109375,0.000137454198994528,0.000522909095045229,0.0609729818664277
1.25,0.00021256960834389,0.000588948240661868,0.0595372578176212
1.2890625,-0.000138759041450624,0.000224292292859271,0.0574290861272337
1.328125,-0.000660403439823926,-0.000315571887865995,0.054546999350444
1.3671875,-0.0011053733864885,-0.000783656584357174,0.0508906046945063
1.40625,-0.00133750094155016,-0.00104265490130086,0.0466400672288866
1.4453125,-0.0013498425731597,-0.00108389286226375,0.042069116428364
1.484375,-0.00121259310895676,-0.000976221036645552,0.0373903930821145
1.5234375,-0.00100614508681197,-0.000799541175044088,0.0326815321191284
1.5625,-0.000783394611586907,-0.0006068581190671,0.0279253330738783
1.6015625,-0.000567914088346138,-0.000421975488259976,0.0230852214042055
1.640625,-0.000370066246736981,-0.000255346199536653,0.0181469308843369
1.6796875,-0.000201865879363905,-0.00011886023680289,0.0131302043132389
1.71875,-8.05493463063642e-05,-2.9358857508197e-05,0.0080975407945361
1.7578125,-1.99108659450038e-05,2.51106256495242e-08,0.00315356206494284
1.796875,-1.6718982473197e-05,-2.67373296669512e-05,-0.00158474703015837
1.8359375,-4.48539538082724e-05,-8.29857673937362e-05,-0.00603186106105309
1.875,-6.56010047350025e-05,-0.000129768086552076,-0.0101502363989673
1.9140625,-4.8891326793663e-05,-0.000136926981949024,-0.0139258742342731
1.953125,1.05293153966664e-05,-9.90611129933065e-05,-0.0173355048059292
1.9921875,9.41745839960582e-05,-3.44164904782397e-05,-0.0203411121053046
2.03125,0.000175292898117379,3.04750949196519e-05,-0.0229079287324695
2.0703125,0.000235058022152072,7.69150158114735e-05,-0.0250157690476952
2.109375,0.000268599660709838,0.000100119754839306,-0.0266509061131504
2.1484375,0.000280827660239949,0.000105113002299618,-0.0277953315991921
2.1875,0.000279075699024777,9.9342014102792e-05,-0.0284310792879199
2.2265625,0.00026851377338985,8.80006259680144e-05,-0.0285543781572711
2.265625,0.000251709436579142,7.35441695612701e-05,-0.0281829799190799
2.3046875,0.000230855690488908,5.7942847666567e-05,-0.0273521279348137
2.34375,0.000210423651306665,4.53762493200582e-05,-0.0261079372749923
2.3828125,0.00019785664724458,4.29536515558792e-05,-0.0245032496511347
2.421875,0.000200840794567985,5.80240155979438e-05,-0.0225913977577718
2.4609375,0.000222451030774132,9.3386371328595e-05,-0.020416025897189
2.5,0.000258071447844848,0.000144243554531216,-0.0180058059866824
2.5390625,0.000297189020510315,0.000199943913047984,-0.0153826666482908
2.578125,0.000329063268954396,0.000249548179015327,-0.0125780530657068
2.6171875,0.000347960978950689,0.000287006243026547,-0.00964209313788751
2.65625,0.000354450391029342,0.000312484128324036,-0.00663841139689614
2.6953125,0.000352911856096725,0.000329949844220698,-0.00363223388281864
2.734375,0.000348006228323113,0.000343688893265145,-0.000682935396327626
2.7734375,0.000342452825888252,0.000356089640461839,0.00215713240700882
2.8125,0.000336647024310854,0.00036726351349142,0.00484305338639359
2.8515625,0.000329550189186384,0.000375946733093062,0.00733921312006018
2.890625,0.000320159115412865,0.000380965911893436,0.00961869141409936
2.9296875,0.000308807005410638,0.000382504268648041,0.0116577631806458
2.96875,0.000297460359218263,0.000382360500304508,0.0134298845752056
3.0078125,0.000288723922244369,0.000382950778356753,0.0149052261313478
3.046875,0.000284350714256602,0.000385850846444053,0.0160557455170875
3.0859375,0.000284527417798182,0.000391113596784225,0.0168602791795203
3.125,0.000288406395607094,0.000397810179517964,0.0173059805462651
3.1640625,0.000295143123818789,0.000405064959045006,0.0173879282236201
3.203125,0.000304408473033217,0.00041257357824612,0.0171100408019179
3.2421875,0.000316136666450286,0.000420361172312147,0.016486699147069
