x_over_lambda_p,mf12_eta20_hat,gl8_eta20_hat,gl8_difference_pct_of_mf12_peak
-5,6.94966523600443e-05,6.15055466926984e-05,-0.0255047403088455
-4.9609375,6.95270902388134e-05,6.15494239711474e-05,-0.0254618465701049
-4.921875,6.96124952208771e-05,6.16751571744857e-05,-0.025333133366508
-4.8828125,6.97348565281371e-05,6.18647655441565e-05,-0.0251185048864558
-4.84375,6.9864102913075e-05,6.2088227736719e-05,-0.0248178018540488
-4.8046875,6.99605156742183e-05,6.23058947335793e-05,-0.0244308018665569
-4.765625,6.99811508770339e-05,6.24749120468226e-05,-0.0239572194424877
-4.7265625,6.9889956646327e-05,6.25593371424696e-05,-0.0233967056039363
-4.6875,6.96687596367249e-05,6.25411261864111e-05,-0.0227488469974483
-4.6484375,6.93246920453242e-05,6.24275614144991e-05,-0.022013164753183
-4.609375,6.8890095897861e-05,6.22511557552579e-05,-0.0211891134107976
-4.5703125,6.84136354650643e-05,6.20607654567279e-05,-0.0202760802476393
-4.53125,6.79452238598489e-05,6.19065167004627e-05,-0.0192733852251092
-4.4921875,6.75205874452502e-05,6.18243698281525e-05,-0.0181802815673439
-4.453125,6.71521010386239e-05,6.18269542264373e-05,-0.0169959567805848
-4.4140625,6.68301913244697e-05,6.19049713851825e-05,-0.0157195337847646
-4.375,6.65349033036649e-05,6.20387610670481e-05,-0.0143500718060995
-4.3359375,6.62522271366025e-05,6.22146280282568e-05,-0.0128865667676479
-4.296875,6.59869562645659e-05,6.24377002086031e-05,-0.0113279510702544
-4.2578125,6.57648561271686e-05,6.27340976913037e-05,-0.00967309281886272
-4.21875,6.56217039348199e-05,6.31399728379989e-05,-0.00792079466543062
-4.1796875,6.55833589914671e-05,6.36815810255001e-05,-0.00606979248757496
-4.140625,6.56463441433933e-05,6.43558624943946e-05,-0.00411875411252981
-4.1015625,6.57696222984769e-05,6.51222191998625e-05,-0.00206627825893648
-4.0625,6.58841832051259e-05,6.59121018110182e-05,8.91061666195716e-05
-4.0234375,6.59190162811186e-05,6.66549826139447e-05,0.00234894030640658
-3.984375,6.58334601303776e-05,6.73107049312308e-05,0.0047148350412022
-3.9453125,6.56409394019439e-05,6.78932197072293e-05,0.00718847011669041
-3.90625,6.54106894035003e-05,6.84723097023263e-05,0.00977159280535251
-3.8671875,6.52424318272243e-05,6.91482647315337e-05,0.0124660163513068
-3.828125,6.52210906370486e-05,7.00065971149066e-05,0.015273618576064
-3.7890625,6.53693123527779e-05,7.10705617057705e-05,0.0181963410618175
-3.75,6.56195329466472e-05,7.22732228077901e-05,0.0212361892169061
-3.7109375,6.58217840166729e-05,7.34652606560685e-05,0.0243952332580352
-3.671875,6.57895664130134e-05,7.44608455349753e-05,0.027675609778866
-3.6328125,6.53691533270059e-05,7.51069413347151e-05,0.0310795232422075
-3.59375,6.45049467036301e-05,7.53486621509452e-05,0.0346092465773442
-3.5546875,6.32713689185336e-05,7.52611636521087e-05,0.0382671201916119
-3.515625,6.18526224632558e-05,7.50294018728322e-05,0.042055549124006
-3.4765625,6.04723446264364e-05,7.48777865240696e-05,0.0459769986692373
-3.4375,5.9297760029973e-05,7.49743319627553e-05,0.050033989378011
-3.3984375,5.83575892998907e-05,7.53485644860907e-05,0.0542290926634684
-3.359375,5.75122016293176e-05,7.58616740629743e-05,0.0585649281471924
-3.3203125,5.64966881213493e-05,7.62495875755655e-05,0.0630441633358908
-3.28125,5.50283617900187e-05,7.62304693697748e-05,0.0676695153752717
-3.2421875,5.29409890952486e-05,7.56389536390111e-05,0.0724437537590862
-3.203125,5.02915054548883e-05,7.45328605538257e-05,0.0773697023003139
-3.1640625,4.73897265469539e-05,7.32229074103504e-05,0.0824502386402799
-3.125,4.4728082949823e-05,7.22024419855588e-05,0.0876882901476082
-3.0859375,4.28278069195666e-05,7.19936268620744e-05,0.0930868260906464
-3.046875,4.20549085908128e-05,7.29634123356662e-05,0.0986488471262185
-3.0078125,4.24777133663489e-05,7.51810702754856e-05,0.104377374035156
-2.96875,4.38278862968878e-05,7.8379215434393e-05,0.110275437925751
-2.9296875,4.55899429057484e-05,8.20433142214687e-05,0.116346073683963
-2.890625,4.71930678851623e-05,8.5603502588495e-05,0.122592317388757
-2.8515625,4.82338182708802e-05,8.86572894377958e-05,0.129017207056493
-2.8125,4.86386869701808e-05,9.11321208467517e-05,0.135623784863928
-2.7734375,4.86923762851443e-05,9.33136539565454e-05,0.142415098314668
-2.734375,4.89074602417171e-05,9.57154185623285e-05,0.149394197880875
-2.6953125,4.97761032748519e-05,9.8830533434247e-05,0.156564129457858
-2.65625,5.14986988253774e-05,0.000102860340812988,0.163927921274125
-2.6171875,5.38037495634518e-05,0.000107534281132432,0.171488566334801
-2.578125,5.59463978328955e-05,0.000112108417267707,0.179249002645329
-2.5390625,5.6906521011759e-05,0.000115563523897198,0.187212094066226
-2.5,5.57253872585363e-05,0.000116941738305527,0.195380614536058
-2.4609375,5.18555672625962e-05,0.000115696468848236,0.203757237584509
-2.421875,4.53810062376146e-05,0.000111912465491467,0.212344531692525
-2.3828125,3.7005034058643e-05,0.000106293829979889,0.221144960390806
-2.34375,2.77922687726067e-05,9.99059199978749e-05,0.230160884336547
-2.3046875,1.87533873681384e-05,9.3760119945622e-05,0.239394561333477
-2.265625,1.04375462225544e-05,8.840625931997e-05,0.248848139737455
-2.2265625,2.71088205475419e-06,8.3711108276181e-05,0.258523641249931
-2.1875,-5.16142527126758e-06,7.8940431029484e-05,0.268422930910252
-2.1484375,-1.41299487595785e-05,7.31441766593803e-05,0.278547675021728
-2.109375,-2.48044328599871e-05,6.57130448943542e-05,0.288899291242001
-2.0703125,-3.6948455830362e-05,5.68838079592424e-05,0.299478898186037
-2.03125,-4.92554042471191e-05,4.79633229138868e-05,0.310287273453298
-1.9921875,-5.95470564526025e-05,4.11299401608813e-05,0.321324827951405
-1.953125,-6.53770422734164e-05,3.88300419688648e-05,0.332591600284031
-1.9140625,-6.48504005453093e-05,4.29584885700348e-05,0.344087268312297
-1.875,-5.73573558774913e-05,5.41248471161962e-05,0.355811167412125
-1.8359375,-4.39182940657631e-05,7.13084189072911e-05,0.367762298905465
-1.796875,-2.69616200674607e-05,9.20803752161675e-05,0.379939310271208
-1.7578125,-9.57011568867411e-06,0.000113357380088493,0.392340432867116
-1.71875,5.54337373070115e-06,0.000132425869563437,0.40496337311316
-1.6796875,1.69257305279167e-05,0.000147831797379323,0.417805167254956
-1.640625,2.47403377079671e-05,0.000159737358590965,0.430862023782024
-1.6015625,3.03670054967102e-05,0.000169520873124474,0.44412918619262
-1.5625,3.53140214090182e-05,0.000178688809112268,0.457600847671151
-1.5234375,3.98175979194674e-05,0.000187475225997366,0.471270136513874
-1.484375,4.16998936519516e-05,0.000193699812217383,0.485129168773034
-1.4453125,3.60466355743544e-05,0.000192445535685907,0.499169138537879
-1.40625,1.60238135301365e-05,0.00017687536251815,0.513380395153425
-1.3671875,-2.52559320632445e-05,0.000140098646607305,0.527752449214156
-1.328125,-9.23430999690633e-05,7.75613049185013e-05,0.542273861011967
-1.2890625,-0.000185357551847895,-1.086048279769e-05,0.556931996152456
-1.25,-0.000299026732889835,-0.000119898604076606,0.571712676264513
-1.2109375,-0.000423381308491808,-0.000239588770632686,0.586599795314363
-1.171875,-0.000546072058013624,-0.000357587512613996,0.601574998850557
-1.1328125,-0.000655640230021997,-0.000462442584607819,0.616617521991244
-1.09375,-0.000744604779346249,-0.000546680184627596,0.631704247093174
-1.0546875,-0.00081112613728562,-0.000608468637915511,0.646809979524564
-1.015625,-0.000858358248008871,-0.000650970302188878,0.661907866259091
-0.9765625,-0.000891339754423573,-0.000679232620440247,0.676969820584912
-0.9375,-0.000912178795732394,-0.000695372834334169,0.691966790711682
-0.8984375,-0.000915041119863253,-0.000693566104034478,0.706868736161566
-0.859375,-0.000882759755561226,-0.000656655297237831,0.721644254533513
-0.8203125,-0.00078657370229243,-0.000555889887634936,0.736259915863098
-0.78125,-0.000589604209717052,-0.00035440247942154,0.750679480549345
-0.7421875,-0.000253438280749732,-1.3792510459192e-05,0.764863260706133
-0.703125,0.000253988848256236,0.000497991198342392,0.778767899306524
-0.6640625,0.0009517087277528,0.00119996558810068,0.79234676859992
-0.625,0.00184262015896003,0.00209501415987704,0.805551035972845
-0.5859375,0.00291539408897435,0.00317179236530943,0.818331245485075
-0.546875,0.00415120187084476,0.00441145641594413,0.830639070896042
-0.5078125,0.00553332983359351,0.00579727830951644,0.84242877188305
