x_over_lambda_p,mf12_eta20_scaled,gl6_eta20_scaled,gl12_eta20_scaled,gl16_eta20_scaled,gl6_difference_pct_of_mf12_peak,gl12_difference_pct_of_mf12_peak,gl16_difference_pct_of_mf12_peak
-5,6.94966523600443e-05,5.54296549320305e-05,6.9108136153338e-05,7.12168835373107e-05,-0.0448968054311623,-0.00124000424600988,0.00549036031730161
-4.9609375,6.95270902388134e-05,5.54748693523541e-05,6.9146670080174e-05,7.12512284130768e-05,-0.0448496440156213,-0.00121416456723802,0.00550283004901878
-4.921875,6.96124952208771e-05,5.56046203648898e-05,6.92563644723315e-05,7.13483500816483e-05,-0.0447081074075477,-0.00113664149064719,0.00554022550580531
-4.8828125,6.97348565281371e-05,5.58009459397028e-05,6.94192123447445e-05,7.14902356501416e-05,-0.0444720400203046,-0.0010074229102394,0.00560253993802633
-4.84375,6.9864102913075e-05,5.60338548158184e-05,6.96051487539094e-05,7.1646810341486e-05,-0.0441411865655616,-0.000826488705862276,0.00568976208061774
-4.8046875,6.99605156742183e-05,5.62637385455964e-05,6.97744637882778e-05,7.17783505020561e-05,-0.04371519515267,-0.000593810823234786,0.00580187612808491
-4.765625,6.99811508770339e-05,5.64477937443653e-05,6.98842247565568e-05,7.18419058116836e-05,-0.0431936171969323,-0.000309353377970697,0.00593886169977345
-4.7265625,6.9889956646327e-05,5.65501409505514e-05,6.98983934410807e-05,7.18014165620542e-05,-0.042575902415969,2.69272198605666e-05,0.00610069379517828
-4.6875,6.96687596367249e-05,5.65528141177959e-05,6.97988125232567e-05,7.1638700110137e-05,-0.0418613891857536,0.000415082121985247,0.00628734273951187
-4.6484375,6.93246920453242e-05,5.64631913594723e-05,6.95926325444728e-05,7.13608778707056e-05,-0.0410492926298195,0.000855169876795722,0.00649877411947077
-4.609375,6.8890095897861e-05,5.631390252698e-05,6.93122161322936e-05,7.10002795792045e-05,-0.0401386941119847,0.00134725623793287,0.00673494870885691
-4.5703125,6.84136354650643e-05,5.6153943358335e-05,6.90062503467844e-05,7.06055556817464e-05,-0.0391285357076731,0.00189141394077555,0.00699582238445775
-4.53125,6.79452238598489e-05,5.60336015988804e-05,6.87246731960663e-05,7.02266039027743e-05,-0.0380176217246752,0.00248772244188447,0.00728134603179628
-4.4921875,6.75205874452502e-05,5.59890188125002e-05,6.85032379501327e-05,6.98991336203541e-05,-0.0368046269909481,0.00313626761860949,0.00759146544094855
-4.453125,6.71521010386239e-05,5.60330216798382e-05,6.83543482385171e-05,6.9635501034651e-05,-0.0354881093211052,0.00383714142907774,0.00792612119252513
-4.4140625,6.68301913244697e-05,5.61565214455907e-05,6.82684613450216e-05,6.94261125419521e-05,-0.0340665221729663,0.00459044153527718,0.0082852485338364
-4.375,6.65349033036649e-05,5.63400775987266e-05,6.8225654528533e-05,6.92509911420673e-05,-0.0325382234852555,0.00539627089319245,0.00866877724537407
-4.3359375,6.62522271366025e-05,5.65702239979556e-05,6.82119517286033e-05,6.90961032365564e-05,-0.030901477968146,0.00625473731377142,0.00907663149747174
-4.296875,6.59869562645659e-05,5.68523285485766e-05,6.8232181541107e-05,6.8966216702212e-05,-0.0291544521387449,0.00716595299784802,0.0095087296974536
-4.2578125,6.57648561271686e-05,5.72127653479616e-05,6.83121457820929e-05,6.88870695575438e-05,-0.0272952033800087,0.00813003404594325,0.00996498432700068
-4.21875,6.56217039348199e-05,5.76879589513469e-05,6.84876590986947e-05,6.88944096812931e-05,-0.0253216655996604,0.00914709994264123,0.0104453017699598
-4.1796875,6.55833589914671e-05,5.83044593438309e-05,6.87846191218088e-05,6.90140650782811e-05,-0.0232316343914357,0.0102172730138034,0.0109495821307575
-4.140625,6.56463441433933e-05,5.90595274427372e-05,6.91995877354005e-05,6.92425252684518e-05,-0.0210227540975559,0.011340677853696,0.0114777190436843
-4.1015625,6.57696222984769e-05,5.99129146079788e-05,6.9691567405573e-05,6.95387177435275e-05,-0.0186925082621992,0.0125174407179699,0.0120295994730849
-4.0625,6.58841832051259e-05,6.07964511544216e-05,7.01915877571323e-05,6.98335946806578e-05,-0.0162382140990132,0.0137476888777708,0.0126051035049911
-4.0234375,6.59190162811186e-05,6.16400196447411e-05,7.06286781859681e-05,7.00561057032093e-05,-0.0136570210101448,0.0150315499288781,0.0132041041299284
-3.984375,6.58334601303776e-05,6.24039037031856e-05,7.09622171435363e-05,7.01655473268062e-05,-0.010945912829997,0.0163691510503111,0.0138264670171585
-3.9453125,6.56409394019439e-05,6.31025232299392e-05,7.12056687463194e-05,7.01752997447898e-05,-0.0081017130742382,0.0177606182079741,0.0144720502800487
-3.90625,6.54106894035003e-05,6.38061568544848e-05,7.1428307122176e-05,7.01545513654728e-05,-0.0051210918342569,0.0192060753019309,0.0151407042326477
-3.8671875,6.52424318272243e-05,6.46156156764779e-05,7.17298918522808e-05,7.02029744589778e-05,-0.00200057211250568,0.0207056432602568,0.0158322711374994
-3.828125,6.52210906370486e-05,6.56169582457345e-05,7.21953835599458e-05,7.04054409627969e-05,0.00126346728181491,0.0222594390865302,0.0165465849448847
-3.7890625,6.53693123527779e-05,6.68340119010237e-05,7.28474638848986e-05,7.07845426818018e-05,0.00467479509889905,0.0238675748709353,0.0172834710243808
-3.75,6.56195329466472e-05,6.82004431800893e-05,7.36186020614902e-05,7.12726580983783e-05,0.00823733886205083,0.0255301567742049,0.0180427458890292
