x_over_lambda_p,gl6_endpoint_band_eta20_scaled,gl6_endpoint_band_difference_pct_of_mf12_peak
-5,0.00061326519111441,-0.0943058307899442
-4.9609375,0.00061398539799466,-0.0939647075115086
-4.921875,0.000616121795239991,-0.0929425374211942
-4.8828125,0.000619602045035997,-0.0912429195986538
-4.84375,0.000624309152484485,-0.0888718520496104
-4.8046875,0.000630093455520844,-0.0858377311929715
-4.765625,0.000636796785139458,-0.0821513514220931
-4.7265625,0.000644286150253451,-0.0778259048650225
-4.6875,0.00065248676897817,-0.0728769813406327
-4.6484375,0.000661400162601313,-0.0673225683373265
-4.609375,0.000671095835829904,-0.0611830506788734
-4.5703125,0.00068167488538531,-0.0544812094349169
-4.53125,0.000693216856182606,-0.0472422196047306
-4.4921875,0.000705731024946911,-0.0394936461363574
-4.453125,0.000719134356134046,-0.0312654378832723
-4.4140625,0.000733268644850259,-0.0225899190733742
-4.375,0.00074795207190322,-0.0135017777095461
-4.3359375,0.000763043080171061,-0.00403805003315319
-4.296875,0.00077848573417569,0.00576190016784273
-4.2578125,0.00079431103780694,0.015856408895452
-4.21875,0.000810587320389171,0.0262015474421724
-4.1796875,0.000827337363675518,0.0367511672479114
-4.140625,0.000844459166183987,0.047456954624108
-4.1015625,0.000861690995384857,0.0582684949750722
-4.0625,0.000878645719463598,0.0691333453521775
-4.0234375,0.000894909260814107,0.0799971137997277
-3.984375,0.000910165912453352,0.0908035442399377
-3.9453125,0.000924294338229011,0.101494606643034
-3.90625,0.000937383208951616,0.112010593712801
-3.8671875,0.000949645552830309,0.122290226828425
-3.828125,0.000961255343577093,0.13227077495917
-3.7890625,0.000972169839383068,0.141888190244345
-3.75,0.000982017546230218,0.151077262735584
-3.7109375,0.000990113632492437,0.159771794664543
-3.671875,0.000995615775945675,0.16790479213877
-3.6328125,0.000997771897590995,0.175408670200339
-3.59375,0.00099616320712992,0.182215466454493
-3.5546875,0.000990834842006639,0.188257059387111
-3.515625,0.000982241875771898,0.193465389901095
-3.4765625,0.000971010722748035,0.197772687828242
-3.4375,0.000957597544823264,0.201111708172429
-3.3984375,0.000941981299267732,0.203415983545337
-3.359375,0.000923531768725388,0.204620098945336
-3.3203125,0.000901134615866584,0.204659992603479
-3.28125,0.00087355428827222,0.203473282680227
-3.2421875,0.000839910298214564,0.200999615294719
-3.203125,0.000800078026171466,0.197181026062047
-3.1640625,0.000754834117652506,0.191962306136277
-3.125,0.000705653161843252,0.185291365246063
