id,mx,my,kx,ky,realized_k,realized_theta_deg,cell_mass,c_real,c_imag
1,4,-9,0.4,-0.9,0.98488578017961,-66.0375110254218,2.79330309731781,0.000775387277063908,0
2,4,9,0.4,0.9,0.98488578017961,66.0375110254218,2.79330309731781,0.000775387277063908,0
3,5,-8,0.5,-0.8,0.94339811320566,-57.9946167919165,2.75247939135834,0.000764055108265624,0
4,5,8,0.5,0.8,0.94339811320566,57.9946167919165,2.75247939135834,0.000764055108265624,0
5,6,-8,0.6,-0.8,1,-53.130102354156,2.7364886078334,0.000759616259467787,0
6,6,8,0.6,0.8,1,53.130102354156,2.7364886078334,0.000759616259467787,0
7,5,-9,0.5,-0.9,1.0295630140987,-60.9453959009229,2.63876050481344,0.000732488115813763,0
8,5,9,0.5,0.9,1.0295630140987,60.9453959009229,2.63876050481344,0.000732488115813763,0
9,3,-9,0.3,-0.9,0.948683298050514,-71.565051177078,2.58596173807081,0.000717831814456345,0
10,3,9,0.3,0.9,0.948683298050514,71.565051177078,2.58596173807081,0.000717831814456345,0
11,7,-7,0.7,-0.7,0.989949493661167,-45,2.51265512130227,0.000697482781076651,0
12,7,7,0.7,0.7,0.989949493661167,45,2.51265512130227,0.000697482781076651,0
13,6,-7,0.6,-0.7,0.921954445729289,-49.3987053549955,2.45254792713338,0.000680797748341279,0
14,6,7,0.6,0.7,0.921954445729289,49.3987053549955,2.45254792713338,0.000680797748341279,0
15,4,-8,0.4,-0.8,0.894427190999916,-63.434948822922,2.3389453751501,0.000649263048961747,0
16,4,8,0.4,0.8,0.894427190999916,63.434948822922,2.3389453751501,0.000649263048961747,0
17,3,-10,0.3,-1,1.04403065089106,-73.3007557660064,2.29386584286378,0.000636749514063095,0
18,3,10,0.3,1,1.04403065089106,73.3007557660064,2.29386584286378,0.000636749514063095,0
19,2,-10,0.2,-1,1.01980390271856,-78.6900675259798,2.22669981940909,0.000618105035385591,0
20,2,10,0.2,1,1.01980390271856,78.6900675259798,2.22669981940909,0.000618105035385591,0
21,7,-8,0.7,-0.8,1.06301458127347,-48.8140748342904,2.21339192037834,0.000614410922991272,0
22,7,8,0.7,0.8,1.06301458127347,48.8140748342904,2.21339192037834,0.000614410922991272,0
23,2,-9,0.2,-0.9,0.921954445729289,-77.4711922908485,2.20040286649497,0.000610805318167387,0
24,2,9,0.2,0.9,0.921954445729289,77.4711922908485,2.20040286649497,0.000610805318167387,0
25,6,-9,0.6,-0.9,1.0816653826392,-56.3099324740202,2.18192445075091,0.000605675932644563,0
26,6,9,0.6,0.9,1.0816653826392,56.3099324740202,2.18192445075091,0.000605675932644563,0
27,4,-10,0.4,-1,1.0770329614269,-68.1985905136482,2.1588959865754,0.000599283508510871,0
28,4,10,0.4,1,1.0770329614269,68.1985905136482,2.1588959865754,0.000599283508510871,0
29,7,-6,0.7,-0.6,0.921954445729289,-40.6012946450045,2.1245757138804,0.000589756614412403,0
30,7,6,0.7,0.6,0.921954445729289,40.6012946450045,2.1245757138804,0.000589756614412403,0
31,8,-6,0.8,-0.6,1,-36.869897645844,2.1004169437168,0.000583050430957999,0
32,8,6,0.8,0.6,1,36.869897645844,2.1004169437168,0.000583050430957999,0
33,1,-10,0.1,-1,1.00498756211209,-84.2894068625004,2.00636538593045,0.000556942851953915,0
34,1,10,0.1,1,1.00498756211209,84.2894068625004,2.00636538593045,0.000556942851953915,0
35,5,-7,0.5,-0.7,0.860232526704263,-54.4623222080256,1.97978390246394,0.000549564152483312,0
36,5,7,0.5,0.7,0.860232526704263,54.4623222080256,1.97978390246394,0.000549564152483312,0
37,8,-7,0.8,-0.7,1.06301458127347,-41.1859251657096,1.95426495598485,0.000542480400475531,0
38,8,7,0.8,0.7,1.06301458127347,41.1859251657096,1.95426495598485,0.000542480400475531,0
39,3,-8,0.3,-0.8,0.854400374531753,-69.4439547804165,1.86166980810048,0.000516777103308701,0
40,3,8,0.3,0.8,0.854400374531753,69.4439547804165,1.86166980810048,0.000516777103308701,0
41,5,-10,0.5,-1,1.11803398874989,-63.434948822922,1.84025784119606,0.000510833399336673,0
42,5,10,0.5,1,1.11803398874989,63.434948822922,1.84025784119606,0.000510833399336673,0
43,8,-5,0.8,-0.5,0.94339811320566,-32.0053832080835,1.8091028536089,0.000502185150238548,0
44,8,5,0.8,0.5,0.94339811320566,32.0053832080835,1.8091028536089,0.000502185150238548,0
45,1,-9,0.1,-0.9,0.905538513813742,-83.6598082540901,1.80349462413229,0.000500628373321931,0
46,1,9,0.1,0.9,0.905538513813742,83.6598082540901,1.80349462413229,0.000500628373321931,0
47,6,-6,0.6,-0.6,0.848528137423857,-45,1.6814151996989,0.000466740596307034,0
48,6,6,0.6,0.6,0.848528137423857,45,1.6814151996989,0.000466740596307034,0
49,7,-9,0.7,-0.9,1.14017542509914,-52.1250163489018,1.59586060184909,0.000442991670982474,0
50,7,9,0.7,0.9,1.14017542509914,52.1250163489018,1.59586060184909,0.000442991670982474,0
