probe,filter,window,method,relative_L2,relative_Linf
1,raw,available_full,Joint 15 deg,0.0458306753921862,0.0514482975167923
1,raw,available_full,Joint 7.5 deg,0.0422539410527449,0.047872229262771
1,raw,available_full,Initial spectrum only,0.105119747472021,0.11442125833006
1,raw,available_full,Direction blind,0.208891471878291,0.20264569995904
1,raw,main_group,Joint 15 deg,0.0457357161458136,0.0514482975167923
1,raw,main_group,Joint 7.5 deg,0.0421457522818986,0.047872229262771
1,raw,main_group,Initial spectrum only,0.105106064785008,0.11442125833006
1,raw,main_group,Direction blind,0.208799086526863,0.20264569995904
1,common_sum_band,available_full,Joint 15 deg,0.0458265135271016,0.0509325174047154
1,common_sum_band,available_full,Joint 7.5 deg,0.0422494254304013,0.0473538336642182
1,common_sum_band,available_full,Initial spectrum only,0.105117949299409,0.114514099364554
1,common_sum_band,available_full,Direction blind,0.208890596811326,0.203486973328595
1,common_sum_band,main_group,Joint 15 deg,0.0457319021543827,0.0509325174047154
1,common_sum_band,main_group,Joint 7.5 deg,0.0421416356230865,0.0473538336642182
1,common_sum_band,main_group,Initial spectrum only,0.10510444291633,0.114514099364554
1,common_sum_band,main_group,Direction blind,0.208798796184101,0.203486973328595
2,raw,available_full,Joint 15 deg,0.0344494662051126,0.0392330629545833
2,raw,available_full,Joint 7.5 deg,0.0311129554057232,0.0360894798953891
2,raw,available_full,Initial spectrum only,0.0983447797756805,0.101657168601207
2,raw,available_full,Direction blind,0.234771218561526,0.227925351057752
2,raw,main_group,Joint 15 deg,0.0342552791994474,0.0392330629545833
2,raw,main_group,Joint 7.5 deg,0.0308908911144051,0.0360894798953891
2,raw,main_group,Initial spectrum only,0.0982992522191509,0.101657168601207
2,raw,main_group,Direction blind,0.234709895230123,0.227925351057752
2,common_sum_band,available_full,Joint 15 deg,0.0344477867155396,0.0389034124801777
2,common_sum_band,available_full,Joint 7.5 deg,0.0311110953924567,0.0357587508205374
2,common_sum_band,available_full,Initial spectrum only,0.0983441964728262,0.10176019568243
2,common_sum_band,available_full,Direction blind,0.234770985431566,0.228333939136264
2,common_sum_band,main_group,Joint 15 deg,0.0342541392961997,0.0389034124801777
2,common_sum_band,main_group,Joint 7.5 deg,0.0308896519367077,0.0357587508205374
2,common_sum_band,main_group,Initial spectrum only,0.0982989195644192,0.10176019568243
2,common_sum_band,main_group,Direction blind,0.234710055660165,0.228333939136264
3,raw,available_full,Joint 15 deg,0.0352033492818214,0.0404367479318407
3,raw,available_full,Joint 7.5 deg,0.0315349884402752,0.0365886624527537
3,raw,available_full,Initial spectrum only,0.108287901925723,0.111768560825788
